waveform	V_in	V_out
t0	4/22/2022  09:49:08,307853	4/22/2022  09:49:08,307864
delta t	0,000250	0,000250

time	V_in	V_out
4/22/2022  09:49:08,307853	1,589591E+0	1,579292E+0
4/22/2022  09:49:08,308103	2,507200E+0	6,722577E-2
4/22/2022  09:49:08,308353	2,517499E+0	8,970513E-3
4/22/2022  09:49:08,308603	2,520718E+0	3,820878E-3
4/22/2022  09:49:08,308853	2,519108E+0	2,855321E-3
4/22/2022  09:49:08,309103	2,521361E+0	2,533469E-3
4/22/2022  09:49:08,309353	2,522649E+0	4,142730E-3
4/22/2022  09:49:08,309603	2,522327E+0	1,889765E-3
4/22/2022  09:49:08,309853	2,522005E+0	2,855321E-3
4/22/2022  09:49:08,310103	2,522005E+0	2,211617E-3
4/22/2022  09:49:08,310353	2,521040E+0	3,499026E-3
4/22/2022  09:49:08,310603	2,522005E+0	1,246060E-3
4/22/2022  09:49:08,310853	2,523614E+0	3,820878E-3
4/22/2022  09:49:08,311103	2,523293E+0	1,889765E-3
4/22/2022  09:49:08,311353	2,523614E+0	2,533469E-3
4/22/2022  09:49:08,311603	2,522971E+0	2,211617E-3
4/22/2022  09:49:08,311853	2,522005E+0	9,242081E-4
4/22/2022  09:49:08,312103	2,522327E+0	3,499026E-3
4/22/2022  09:49:08,312353	2,523614E+0	1,567913E-3
4/22/2022  09:49:08,312603	2,522005E+0	1,567913E-3
4/22/2022  09:49:08,312853	2,523293E+0	1,567913E-3
4/22/2022  09:49:08,313103	2,523293E+0	1,889765E-3
4/22/2022  09:49:08,313353	2,524258E+0	1,246060E-3
4/22/2022  09:49:08,313603	2,524258E+0	2,855321E-3
4/22/2022  09:49:08,313853	2,523936E+0	1,246060E-3
4/22/2022  09:49:08,314103	2,524580E+0	2,855321E-3
4/22/2022  09:49:08,314353	2,523293E+0	2,533469E-3
4/22/2022  09:49:08,314603	2,523614E+0	1,246060E-3
4/22/2022  09:49:08,314853	2,524902E+0	2,533469E-3
4/22/2022  09:49:08,315103	2,521683E+0	-4,134846E-5
4/22/2022  09:49:08,315353	2,521683E+0	3,499026E-3
4/22/2022  09:49:08,315603	2,522649E+0	9,242081E-4
4/22/2022  09:49:08,315853	2,522327E+0	1,567913E-3
4/22/2022  09:49:08,316103	2,522327E+0	1,567913E-3
4/22/2022  09:49:08,316353	2,522005E+0	1,567913E-3
4/22/2022  09:49:08,316603	2,523936E+0	1,889765E-3
4/22/2022  09:49:08,316853	2,522971E+0	2,211617E-3
4/22/2022  09:49:08,317103	2,524258E+0	2,211617E-3
4/22/2022  09:49:08,317353	2,522649E+0	2,805037E-4
4/22/2022  09:49:08,317603	2,523614E+0	-4,134846E-5
4/22/2022  09:49:08,317853	2,522649E+0	9,242081E-4
4/22/2022  09:49:08,318103	2,523614E+0	2,211617E-3
4/22/2022  09:49:08,318353	2,523293E+0	2,533469E-3
4/22/2022  09:49:08,318603	2,522649E+0	2,533469E-3
4/22/2022  09:49:08,318853	2,523293E+0	1,246060E-3
4/22/2022  09:49:08,319103	2,521683E+0	3,499026E-3
4/22/2022  09:49:08,319353	2,522005E+0	6,023559E-4
4/22/2022  09:49:08,319603	2,523293E+0	2,855321E-3
4/22/2022  09:49:08,319853	2,522649E+0	2,211617E-3
